Rank;DokumentType;Titel;PopulærTitel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
C;Vejledning;Vejledning om vurderingskrav ved miljøgodkendelse af hurtigfærger i forhold til habitatdirektivet og fuglebeskyttelsesdirektivet;;Miljøministeriet;Miljøstyrelsen;Miljø- og Fødevaremin.,\n Miljøstyrelsen j.nr. MST-022-00001;10056;2018;CK001947;C20181005660;Retsinformation;;Fremgår af forskriften;20181213;20181214;20181214;;;FALSE;;;;;B20150173505;;;;https://www.retsinformation.dk/eli/retsinfo/2018/10056
L;Bekendtgørelse (international);Bekendtgørelse af ILO-konvention af 1969 om læge- og hospitalsbehandling samt dagpenge under sygdom (* 1) (* 2);;Udenrigsministeriet;Socialministeriet;Udenrigsmin. j.nr. 85.B.86.c.;85;1979;CM013356;L19790008564;Lovtidende C;;Fremgår af forskriften;19790705;19971001;20010726;19791019;;FALSE;(* 2) 'Andre landes senere tiltrædelse af konventionen fremgår af ILO's liste, der udgives årligt pr. 31. december. Oplysninger fra listen kan indhentes bl.a. fra Arbejdsministeriet eller Udenrigsministeriet, der begge vil kunne undersøge tiltrædelser i det løbende år.',(* 1) Andre landes tiltrædelse og eventuelle forbehold: BEK nr. 43 af 20/04/1983;;;;;;;;https://www.retsinformation.dk/eli/ltc/1979/85
L;Bekendtgørelse (international);Bekendtgørelse af aftale af 15. november 1973 om fredning af isbjørne.;;Udenrigsministeriet;Udenrigsministeriet;ØP.IV. j.nr. 63.B.35.c.;41;1978;CM030061;L19780004164;Lovtidende C;;Fremgår af forskriften;19780628;19971001;20040812;19781026;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ltc/1978/41
L;Bekendtgørelse (international);Bekendtgørelse om Danmarks Ratifikation af den mellem Danmark, det britiske Rige, de amerikanske Forenede Stater, Frankrig, Italien, Japan, Norge, Nederlandene og Sverige den 9. Februar 1920 i Paris undertegnede Traktat angaaende Spitzbergen;;Udenrigsministeriet;;JT.2.6.G.11.h.;240;1925;CM029370;L19250024064;Lovtidende A;;Fremgår af forskriften;19250905;19971001;20010403;19250914;;FALSE;;;;;;;;L19990001564;https://www.retsinformation.dk/eli/lta/1925/240
C;Vejledning;Vejledning om inddæmning og opfyldning på søterritoriet;;Miljøministeriet;Kystinspektoratet;Trafikmin.,\nKystdirektoratet, j.nr. 440-2-17;6;2002;AR000515;C20020000660;Ministerialtidende;;Fremgår af forskriften;20020123;20020130;20080821;20020130;;FALSE;Vejledningen har i perioden 18. maj - 21. august 2008 ved en fejl været historisk markeret i Retsinformation. ;;;;B20130058005,A20200070529;;;;https://www.retsinformation.dk/eli/mt/2002/6
C;Vejledning;Vejledning om udlægning af telekabler og visse rørledninger på søterritoriet;Rørvejledningen;Transportministeriet;Kystinspektoratet;Trafikmin.,\nKystdir., j.nr. 450-1;163;2001;AR000466;C20010016360;Ministerialtidende;;Fremgår af forskriften;20010917;20010919;20200716;20010919;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/mt/2001/163
A;Ændringslov;Lov om ændring af lov om naturbeskyttelse, lov om miljøbeskyttelse og forskellige andre love\n(Ændringer som følge af lov om Natur- og Miljøklagenævnet m.v.);;Ministeriet for Fødevarer, Landbrug og Fiskeri;Miljøministeriet;Miljømin.,\nBy- og Landskabsstyrelsen, j.nr. BLS-300-00016;484;2010;AL002216;A20100048430;Lovtidende A;;Fremgår af forskriften;20100511;20100512;20191011;20100512;;FALSE;;;;;;LOV nr 1608 af 22/12/2010;;;https://www.retsinformation.dk/eli/lta/2010/484
C;Vejledning;Vejledning om skydebaner;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Miljøstyrelsen;Ingen;14001;1995;CM008332;C19951400160;Retsinformation;;Fremgår af forskriften;19950331;19970925;20070124;;;FALSE;;;;;A20220010029;;;;https://www.retsinformation.dk/eli/retsinfo/1995/14001
B;Ændringsbekendtgørelse;Bekendtgørelse om ændring af bekendtgørelse om jordbrugets anvendelse af gødning i planperioden 2021/2022;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Landbrugsstyrelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri,\nLandbrugsstyrelsen, j.nr. 21-1261-000006;364;2022;DC000535;B20220036405;Lovtidende A;;Fremgår af forskriften;20220324;20220325;20220325;20220325;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2022/364
A;Lovbekendtgørelse;Bekendtgørelse af lov om vandløb;Vandløbsloven;Miljøministeriet;;Miljø- og Fødevaremin., j.nr. 2019-8697;1217;2019;CK002067;A20190121729;Lovtidende A;;Fremgår af forskriften;20191125;20191128;20191128;20191128;;FALSE;;;;;;LOV nr 2210 af 29/12/2020,LOV nr 126 af 30/01/2021,LOV nr 900 af 21/06/2022;;;https://www.retsinformation.dk/eli/lta/2019/1217
